district_encoded,district_name,state
203,Etawah,Uttar Pradesh
204,Faridabad,Haryana
205,Faridkot,Punjab
206,Farrukhabad,Uttar Pradesh
207,Fatehabad,Punjab
208,Fatehgarh Sahib,Punjab
209,Fatehpur,Chandigarh
210,Fazilka,Punjab
211,Ferozepur,Punjab
212,Firozabad,Uttar Pradesh
213,Gadag,Karnataka
214,Gadchiroli,Telangana
215,Gajapati,Odisha
216,Ganderbal,Jammu And Kashmir
217,Gandhinagar,Uttarakhand
218,Ganganagar,Odisha
219,Gangtok,Sikkim
220,Ganjam,Odisha
221,Garhwa,Uttar Pradesh
222,Gariyaband,Rajasthan
223,Gaurela-Pendra-Marwahi,Karnataka
224,Gautam Buddha Nagar,Uttar Pradesh
225,Gaya,Uttar Pradesh
226,Ghaziabad,Punjab
227,Ghazipur,Uttar Pradesh
228,Gir Somnath,Gujarat
229,Giridih,Jharkhand
230,Goalpara,Assam
231,Godda,Jharkhand
232,Golaghat,Meghalaya
233,Gomati,Karnataka
234,Gonda,Uttar Pradesh
235,Gondia,Chhattisgarh
236,Gopalganj,Uttar Pradesh
237,Gorakhpur,Uttar Pradesh
238,Gumla,Karnataka
239,Guna,Madhya Pradesh
240,Guntur,Andhra Pradesh
241,Gurdaspur,Punjab
242,Gurugram,Delhi
243,Gwalior,Madhya Pradesh
244,Hailakandi,Assam
245,Hamirpur,Himachal Pradesh
246,Hanumakonda,Telangana
247,Hanumangarh,Rajasthan
248,Hapur,Madhya Pradesh
249,Harda,Madhya Pradesh
250,Hardoi,Uttar Pradesh
251,Haridwar,Uttarakhand
252,Hassan,Karnataka
253,Hathras,Uttar Pradesh
254,Haveri,Karnataka
255,Hazaribagh,Jharkhand
256,Hingoli,Rajasthan
257,Hisar,Haryana
258,Hojai,Assam
259,Hooghly,West Bengal
260,Hoshiarpur,Punjab
261,Howrah,West Bengal
262,Hyderabad,Andhra Pradesh
263,Idukki,Kerala
264,Imphal East,Manipur
265,Imphal West,Manipur
266,Indore,Madhya Pradesh
267,Jabalpur,Madhya Pradesh
268,Jagatsinghapur,Odisha
269,Jagitial,Karnataka
270,Jaipur,Rajasthan
271,Jaisalmer,Rajasthan
272,Jajapur,Odisha
273,Jalandhar,Punjab
274,Jalaun,Uttar Pradesh
275,Jalgaon,Maharashtra
276,Jalna,Odisha
277,Jalore,Rajasthan
278,Jalpaiguri,West Bengal
279,Jammu,Uttar Pradesh
280,Jamnagar,Gujarat
281,Jamtara,Jharkhand
282,Jamui,Bihar
283,Jangoan,Telangana
284,Janjgir-Champa,Himachal Pradesh
285,Jashpur,Jharkhand
286,Jaunpur,Uttar Pradesh
287,Jehanabad,Uttar Pradesh
288,Jhabua,West Bengal
289,Jhajjar,Haryana
290,Jhalawar,Rajasthan
291,Jhansi,Delhi
292,Jhargram,West Bengal
293,Jharsuguda,Odisha
294,Jhunjhunu,Uttar Pradesh
295,Jind,Haryana
296,Jiribam,Assam
297,Jodhpur,Rajasthan
298,Jorhat,Assam
299,Junagadh,Chandigarh
300,Kabeerdham,Uttar Pradesh
301,Kachchh,Gujarat
302,Kaimur (Bhabua),Uttar Pradesh
303,Kaithal,Haryana
304,Kakching,Manipur
305,Kakinada,Andhra Pradesh
306,Kalaburagi,Karnataka
307,Kalahandi,Uttar Pradesh
308,Kalimpong,Sikkim
309,Kallakurichi,Tamil Nadu
310,Kamareddy,Maharashtra
311,Kamjong,Manipur
312,Kamle,Karnataka
313,Kamrup,Assam
314,Kamrup Metro,Assam
315,Kancheepuram,Puducherry
316,Kandhamal,Andaman And Nicobar Islands
317,Kangpokpi,Bihar
318,Kangra,Himachal Pradesh
319,Kannauj,Uttar Pradesh
320,Kanniyakumari,Kerala
321,Kannur,Kerala
322,Kanpur Dehat,Uttar Pradesh
